Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
11001,7.25,348,12
11002,7.416666666666667,348,12
11003,10.583333333333334,502,21
11004,11.916666666666666,504,21
11005,9.75,1636,39
11006,8.833333333333334,1639,38
11007,4.083333333333333,191,12
11008,4.033333333333333,191,11
11009,4.166666666666667,191,12
11010,3.8333333333333335,191,11
11011,16.666666666666668,723,16
11012,17.25,723,16
11013,8.666666666666666,1515,34
11014,5.583333333333333,1515,34
11015,8.333333333333334,1678,47
11016,9.333333333333334,1677,46
11017,6.5,1631,30
11018,9.75,1634,30
11019,13.083333333333334,1941,39
11020,12.5,1941,40
11021,14.25,1843,40
11022,14.666666666666666,1845,39
11023,12.25,517,28
11024,13.0,517,31
11025,11.666666666666666,545,19
11026,10.083333333333334,545,19
11027,3.75,1281,52
11028,3.833333333333332,1283,52
11029,11.75,517,35
11030,12.166666666666666,517,34
11031,2.1666666666666665,108,5
11032,2.8333333333333335,108,5
11033,14.5,1955,30
11034,15.333333333333334,1953,30
11035,0.16666666666666666,1210,27
11036,23.416666666666668,1213,26
11037,8.833333333333334,1777,17
11038,12.583333333333334,1777,17
11039,4.75,1352,62
11040,4.416666666666667,1353,60
11041,2.5,1281,36
11042,1.25,1283,34
11043,9.916666666666666,1696,27
11044,11.75,1700,26
11045,12.25,2894,39
11046,13.75,2892,39
11047,6.25,278,12
11048,5.75,279,12
11049,20.0,949,18
11050,18.916666666666668,949,18
11051,6.75,314,9
11052,7.583333333333332,314,9
11053,9.5,1552,17
11054,6.916666666666667,1551,17
11055,9.416666666666666,1732,23
11056,9.916666666666666,1732,23
11057,17.0,2026,90
11058,19.583333333333332,2029,91
11059,10.166666666666666,1772,24
11060,11.0,1770,24
11061,12.916666666666666,1885,41
11062,14.583333333333334,1883,39
11063,6.333333333333332,352,14
11064,6.416666666666668,352,14
11067,3.533333333333333,1510,20
11068,5.916666666666667,1509,20
11071,6.75,1645,43
11072,7.0,1647,41
11073,23.583333333333332,1265,18
11074,0.75,1267,17
11075,13.416666666666666,651,13
11076,15.583333333333334,651,13
11077,16.75,2155,67
11078,17.416666666666668,2157,65
11079,9.666666666666666,1745,25
11080,10.5,1745,24
11081,10.25,1731,20
11082,9.916666666666666,1731,19
11083,3.5,1153,29
11084,5.5,1153,28
11085,11.95,574,11
11086,11.166666666666666,578,11
11087,20.25,1053,26
11088,20.916666666666668,1053,25
11089,23.166666666666668,1074,26
11090,21.333333333333332,1072,26
11091,19.75,981,24
11092,19.5,981,24
11093,4.5,1516,27
11094,2.9166666666666665,1515,26
11095,12.416666666666666,623,17
11096,11.916666666666666,622,16
11097,8.666666666666666,1278,33
11098,5.583333333333332,1279,32
11101,2.75,1373,23
11102,5.083333333333333,1373,23
11103,23.916666666666668,1321,21
11104,1.5,1321,21
11107,14.166666666666666,629,31
11108,15.333333333333334,629,37
11109,5.916666666666667,291,11
11110,5.916666666666667,291,11
11111,19.916666666666668,939,12
11112,18.25,941,12
11123,2.1666666666666665,1051,49
11124,1.1666666666666667,1054,49
